iteration,global_step,mean_return,mean_length,completed_episodes,policy_loss,value_loss,entropy,approx_kl,explained_variance,ep_pursuit,ep_damage,ep_distance,ep_aim,ep_terminal,elapsed_sec,win,loss,draw,raw_win_rate,ema_mean,ema_min,pool_size,opp_added,altitude_term
71,3549858,-0.0992,609.0,82,-0.01720,0.00498,5.3040,0.02634,0.9186,0.0000,0.0023,2.1870,0.0651,-2.3537,99.35,67,13,2,0.8171,0.8140,0.5757,5,0,13
72,3599856,0.8662,562.8,88,-0.01723,0.00196,5.3884,0.02712,0.9388,0.0000,0.0103,1.9769,0.0495,-1.1705,99.43,77,9,2,0.8750,0.8203,0.5816,5,0,9
73,3649854,1.6616,608.7,84,-0.03113,0.00355,5.3000,0.02442,0.9024,0.0000,0.0343,2.0617,0.0775,-0.5119,99.26,77,6,1,0.9167,0.8265,0.5925,5,0,6
74,3699852,1.6998,664.4,73,-0.02441,0.00427,5.3005,0.02640,0.8781,0.0000,0.0019,2.1108,0.0803,-0.4932,98.85,65,5,3,0.8904,0.7405,0.5000,5,1,5
75,3749850,-2.8716,623.8,77,-0.00541,0.01800,5.2360,0.02640,0.8565,0.0000,0.0057,2.3508,0.0706,-5.2987,99.10,52,23,2,0.6753,0.7445,0.4917,5,0,23
76,3799848,-0.1961,605.3,80,-0.01459,0.05731,5.3734,0.02822,0.9220,0.0000,-0.0025,2.4482,0.0831,-2.7250,99.16,62,14,4,0.7750,0.7483,0.5004,5,0,14
77,3849846,-2.0870,589.5,87,-0.02490,0.02413,5.1760,0.02584,0.8912,0.0000,0.0249,2.6078,0.0964,-4.8161,99.29,61,24,2,0.7011,0.7500,0.5062,5,0,24
78,3899844,-0.0611,579.3,82,-0.00922,0.00478,5.2782,0.02487,0.9251,0.0000,0.0012,2.4506,0.0968,-2.6098,99.53,66,14,2,0.8049,0.7571,0.5133,5,0,14
79,3949842,-0.8907,688.6,74,-0.02010,0.03693,5.2180,0.02613,0.9183,0.0000,0.0319,2.5498,0.1087,-3.5811,99.00,56,16,2,0.7568,0.7617,0.5219,5,0,16
80,3999840,1.2706,650.9,80,-0.03146,0.00203,5.3166,0.02566,0.9173,0.0000,0.0281,2.5570,0.0981,-1.4125,99.60,67,9,4,0.8375,0.7686,0.5302,5,0,9
81,4049838,-0.8414,692.7,69,-0.01749,0.05211,5.2595,0.02523,0.9062,0.0000,0.0043,2.6574,0.1055,-3.6087,98.89,51,15,3,0.7391,0.7713,0.5323,5,0,15
82,4099836,-0.0872,730.3,68,-0.01520,0.00285,5.2643,0.02674,0.8671,0.0000,0.0582,2.4979,0.1066,-2.7500,98.40,53,12,3,0.7794,0.7761,0.5379,5,0,12
83,4149834,0.9464,737.7,69,-0.01957,0.00245,5.2339,0.02643,0.9346,0.0000,0.0183,2.6451,0.1091,-1.8261,107.91,54,9,6,0.7826,0.7807,0.5455,5,0,9
