[claude_code/PPO] wandb 로깅 활성: project='AIP contest' run='team02/basic'
[claude_code/PPO] opponent pool 초기화 = iter0 정책 1개 (최대 5개, EMA α=0.1, 추가 임계 min-EMA≥0.60, 초기 EMA=0.5, 샘플 τ=0.3)
[claude_code/PPO] snapshot 저장: claude_code\models\team02\basic (iter 0 = 초기 network)
iter  36 | step 1799928 | return   -2.793 | len 1025.4 | damage  0.007 | shaping  -5.820 | ent  9.971 | kl 0.0449 | ev  0.956 | altT 2 | pool4 W/L/D 37/2/9 raw_wr 0.77 ema[min 0.519 mean 0.805]
iter  37 | step 1849926 | return   -3.812 | len 1150.0 | damage  0.000 | shaping  -5.858 | ent  9.998 | kl 0.0441 | ev  0.953 | altT 3 | pool4 W/L/D 30/3/11 raw_wr 0.68 ema[min 0.519 mean 0.808]
iter  38 | step 1899924 | return   -2.808 | len  968.3 | damage -0.010 | shaping  -6.409 | ent  9.925 | kl 0.0436 | ev  0.952 | altT 1 | pool4 W/L/D 43/1/10 raw_wr 0.80 ema[min 0.533 mean 0.819]
iter  39 | step 1949922 | return   -2.272 | len 1009.1 | damage -0.002 | shaping  -5.499 | ent  9.907 | kl 0.0441 | ev  0.925 | altT 2 | pool4 W/L/D 39/2/7 raw_wr 0.81 ema[min 0.544 mean 0.828]
iter  40 | step 1999920 | return   -1.180 | len  886.5 | damage  0.030 | shaping  -5.348 | ent  9.881 | kl 0.0450 | ev  0.947 | altT 1 | pool4 W/L/D 52/1/5 raw_wr 0.90 ema[min 0.571 mean 0.839]
iter  41 | step 2049918 | return   -1.321 | len  951.1 | damage  0.000 | shaping  -5.221 | ent  9.869 | kl 0.0446 | ev  0.900 | altT 1 | pool4 W/L/D 43/1/6 raw_wr 0.86 ema[min 0.583 mean 0.847]
iter  42 | step 2099916 | return   -0.818 | len  931.7 | damage  0.032 | shaping  -4.577 | ent  9.741 | kl 0.0434 | ev  0.927 | altT 2 | pool5 W/L/D 49/2/4 raw_wr 0.89 ema[min 0.500 mean 0.781] *POOL+ (added current, best saved)*
iter  43 | step 2149914 | return   -1.352 | len 1172.8 | damage  0.084 | shaping  -4.857 | ent  9.871 | kl 0.0410 | ev  0.958 | altT 0 | pool5 W/L/D 28/1/9 raw_wr 0.74 ema[min 0.477 mean 0.785]
iter  44 | step 2199912 | return   -2.599 | len 1353.5 | damage  0.019 | shaping  -5.118 | ent  9.838 | kl 0.0402 | ev  0.956 | altT 0 | pool5 W/L/D 21/1/16 raw_wr 0.55 ema[min 0.441 mean 0.785]
iter  45 | step 2249910 | return   -2.421 | len 1223.3 | damage  0.006 | shaping  -3.803 | ent  9.763 | kl 0.0426 | ev  0.925 | altT 3 | pool5 W/L/D 23/4/13 raw_wr 0.57 ema[min 0.417 mean 0.777]
iter  46 | step 2299908 | return   -0.993 | len 1144.9 | damage  0.009 | shaping  -4.454 | ent  9.749 | kl 0.0451 | ev  0.940 | altT 0 | pool5 W/L/D 30/1/11 raw_wr 0.71 ema[min 0.391 mean 0.781]
iter  47 | step 2349906 | return   -2.098 | len 1588.2 | damage  0.039 | shaping  -3.955 | ent  9.777 | kl 0.0408 | ev  0.926 | altT 0 | pool5 W/L/D 13/0/20 raw_wr 0.39 ema[min 0.362 mean 0.772]
iter  48 | step 2399904 | return   -1.469 | len 1206.0 | damage  0.082 | shaping  -3.868 | ent  9.676 | kl 0.0408 | ev  0.956 | altT 1 | pool5 W/L/D 24/1/16 raw_wr 0.59 ema[min 0.337 mean 0.773]
iter  49 | step 2449902 | return   -1.471 | len 1312.3 | damage -0.001 | shaping  -3.720 | ent  9.697 | kl 0.0398 | ev  0.912 | altT 1 | pool5 W/L/D 24/2/14 raw_wr 0.60 ema[min 0.334 mean 0.782]
iter  50 | step 2499900 | return   -2.950 | len 1591.1 | damage  0.021 | shaping  -3.777 | ent  9.707 | kl 0.0386 | ev  0.918 | altT 1 | pool5 W/L/D 11/1/19 raw_wr 0.35 ema[min 0.310 mean 0.779]
iter  51 | step 2549898 | return   -1.488 | len 1479.6 | damage  0.005 | shaping  -2.899 | ent  9.608 | kl 0.0395 | ev  0.935 | altT 1 | pool5 W/L/D 13/1/18 raw_wr 0.41 ema[min 0.290 mean 0.775]
