[claude_code/PPO] wandb 로깅 활성: project='AIP contest' run='team01/ppo_phase1'
[claude_code/PPO] opponent 초기화 = iter0 정책 (EMA α=0.05, 승격 임계 EMA≥0.60, 초기 EMA=0.5)
[claude_code/PPO] snapshot 저장: claude_code\models\team01\ppo_phase1 (iter 0 = 초기 network)
iter  46 | step 4599816 | return   -7.492 | len 1219.0 | damage  0.013 | dist -9.632 | aim  0.002 | ent  5.976 | kl 0.0204 | ev  0.832 | opp(gen3) W/L/D 40/25/15 raw_wr 0.50 ema 0.509
iter  47 | step 4699812 | return   -3.141 | len 1207.2 | damage  0.009 | dist -8.091 | aim  0.000 | ent  5.870 | kl 0.0206 | ev  0.826 | opp(gen3) W/L/D 55/12/18 raw_wr 0.65 ema 0.516
iter  48 | step 4799808 | return   -5.919 | len 1330.5 | damage  0.017 | dist -9.362 | aim  0.001 | ent  5.874 | kl 0.0215 | ev  0.807 | opp(gen3) W/L/D 39/14/20 raw_wr 0.53 ema 0.516
iter  49 | step 4899804 | return   -5.469 | len 1364.9 | damage  0.026 | dist -8.695 | aim -0.000 | ent  5.774 | kl 0.0202 | ev  0.813 | opp(gen3) W/L/D 36/12/27 raw_wr 0.48 ema 0.515
iter  50 | step 4999800 | return   -4.475 | len 1241.3 | damage  0.012 | dist -9.113 | aim -0.000 | ent  5.908 | kl 0.0208 | ev  0.807 | opp(gen3) W/L/D 45/11/24 raw_wr 0.56 ema 0.517
iter  51 | step 5099796 | return   -3.469 | len 1231.5 | damage  0.050 | dist -7.272 | aim  0.002 | ent  5.834 | kl 0.0222 | ev  0.792 | opp(gen3) W/L/D 43/15/22 raw_wr 0.54 ema 0.518
iter  52 | step 5199792 | return   -5.066 | len 1288.1 | damage  0.000 | dist -8.109 | aim  0.005 | ent  5.780 | kl 0.0206 | ev  0.812 | opp(gen3) W/L/D 36/12/31 raw_wr 0.46 ema 0.515
iter  53 | step 5299788 | return   -2.692 | len 1248.2 | damage  0.039 | dist -7.301 | aim  0.002 | ent  5.813 | kl 0.0226 | ev  0.798 | opp(gen3) W/L/D 43/6/32 raw_wr 0.53 ema 0.516
iter  54 | step 5399784 | return   -1.764 | len 1338.3 | damage  0.011 | dist -5.751 | aim  0.004 | ent  5.751 | kl 0.0226 | ev  0.795 | opp(gen3) W/L/D 34/6/33 raw_wr 0.47 ema 0.513
iter  55 | step 5499780 | return   -2.210 | len 1364.4 | damage  0.004 | dist -6.351 | aim  0.004 | ent  5.715 | kl 0.0227 | ev  0.785 | opp(gen3) W/L/D 37/7/31 raw_wr 0.49 ema 0.512
iter  56 | step 5599776 | return    0.797 | len 1126.1 | damage  0.019 | dist -4.672 | aim  0.005 | ent  5.670 | kl 0.0233 | ev  0.788 | opp(gen3) W/L/D 56/7/27 raw_wr 0.62 ema 0.518
iter  57 | step 5699772 | return   -1.106 | len 1261.8 | damage  0.004 | dist -5.527 | aim  0.001 | ent  5.650 | kl 0.0221 | ev  0.784 | opp(gen3) W/L/D 40/6/31 raw_wr 0.52 ema 0.518
iter  58 | step 5799768 | return    2.445 | len 1037.5 | damage  0.000 | dist -3.539 | aim  0.005 | ent  5.677 | kl 0.0211 | ev  0.784 | opp(gen3) W/L/D 63/6/28 raw_wr 0.65 ema 0.524
iter  59 | step 5899764 | return   -0.527 | len 1070.5 | damage  0.041 | dist -4.979 | aim  0.003 | ent  5.666 | kl 0.0218 | ev  0.834 | opp(gen3) W/L/D 52/13/28 raw_wr 0.56 ema 0.526
iter  60 | step 5999760 | return    2.315 | len 1095.9 | damage  0.009 | dist -3.031 | aim  0.010 | ent  5.568 | kl 0.0216 | ev  0.814 | opp(gen3) W/L/D 58/10/24 raw_wr 0.63 ema 0.531
iter  61 | step 6099756 | return   -2.306 | len 1201.3 | damage  0.013 | dist -5.819 | aim  0.006 | ent  5.562 | kl 0.0225 | ev  0.840 | opp(gen3) W/L/D 39/13/31 raw_wr 0.47 ema 0.528
iter  62 | step 6199752 | return   -0.262 | len 1240.3 | damage  0.020 | dist -4.018 | aim  0.001 | ent  5.558 | kl 0.0211 | ev  0.828 | opp(gen3) W/L/D 40/12/31 raw_wr 0.48 ema 0.526
iter  63 | step 6299748 | return    0.682 | len 1133.3 | damage  0.000 | dist -4.555 | aim  0.004 | ent  5.503 | kl 0.0225 | ev  0.853 | opp(gen3) W/L/D 50/4/32 raw_wr 0.58 ema 0.529
iter  64 | step 6399744 | return   -2.008 | len 1455.7 | damage  0.010 | dist -4.961 | aim  0.002 | ent  5.572 | kl 0.0218 | ev  0.783 | opp(gen3) W/L/D 25/6/37 raw_wr 0.37 ema 0.521
iter  65 | step 6499740 | return    0.190 | len 1207.2 | damage  0.014 | dist -4.521 | aim  0.005 | ent  5.496 | kl 0.0215 | ev  0.844 | opp(gen3) W/L/D 41/2/38 raw_wr 0.51 ema 0.520
iter  66 | step 6599736 | return    1.875 | len 1184.8 | damage  0.000 | dist -3.303 | aim  0.001 | ent  5.557 | kl 0.0233 | ev  0.798 | opp(gen3) W/L/D 47/6/32 raw_wr 0.55 ema 0.522
iter  67 | step 6699732 | return    0.407 | len 1392.3 | damage  0.022 | dist -3.728 | aim  0.004 | ent  5.487 | kl 0.0208 | ev  0.841 | opp(gen3) W/L/D 33/2/38 raw_wr 0.45 ema 0.518
iter  68 | step 6799728 | return    1.429 | len 1294.6 | damage  0.014 | dist -3.196 | aim  0.006 | ent  5.508 | kl 0.0207 | ev  0.828 | opp(gen3) W/L/D 37/3/36 raw_wr 0.49 ema 0.517
