iteration,global_step,mean_return,mean_length,completed_episodes,policy_loss,value_loss,entropy,approx_kl,explained_variance,ep_pursuit,ep_damage,ep_shaping,ep_terminal,elapsed_sec,win,loss,draw,raw_win_rate,ema_mean,ema_min,pool_size,opp_added,altitude_term
52,2599896,-1.8690,1614.3,33,-0.03536,0.00079,9.6455,0.03839,0.9610,0.0000,0.0083,-3.3925,1.5152,108.02,12,1,20,0.3636,0.7778,0.2694,5,0,0
53,2649894,-2.0331,1472.5,34,-0.01774,0.00104,9.6446,0.04217,0.9538,0.0000,0.0959,-3.5996,1.4706,108.41,15,1,18,0.4412,0.7789,0.2568,5,0,1
54,2699892,-2.7689,1587.1,29,-0.03864,0.00088,9.6431,0.04029,0.8842,0.0000,0.0476,-2.8165,0.0000,107.97,8,2,19,0.2759,0.7553,0.2361,5,0,2
55,2749890,-3.0525,1368.4,36,-0.03785,0.00167,9.5445,0.04112,0.9630,0.0000,-0.0149,-3.4543,0.4167,113.52,15,3,18,0.4167,0.7615,0.2212,5,0,3
56,2799888,-0.9383,1713.9,30,-0.00794,0.00076,9.5793,0.04103,0.8043,0.0000,0.0133,-2.1183,1.1667,108.55,8,0,22,0.2667,0.7516,0.2121,5,0,0
57,2849886,-1.5009,1578.7,32,-0.02481,0.00092,9.5631,0.03985,0.9199,0.0000,-0.0208,-3.0425,1.5625,108.44,11,1,20,0.3438,0.7393,0.2052,5,0,0
58,2899884,-0.3170,1388.0,36,-0.03208,0.00085,9.5439,0.04104,0.9499,0.0000,-0.0063,-2.2551,1.9444,108.19,18,1,17,0.5000,0.7427,0.2013,5,0,1
59,2949882,0.3133,1316.9,39,-0.04830,0.00118,9.4804,0.03930,0.9619,0.0000,-0.0000,-2.3790,2.6923,109.08,21,1,17,0.5385,0.7494,0.2002,5,0,0
60,2999880,-2.0404,1500.3,32,-0.02655,0.00094,9.4434,0.03837,0.9360,0.0000,0.0179,-2.5271,0.4688,108.30,12,2,18,0.3750,0.7578,0.1969,5,0,2
61,3049878,0.5525,1665.2,31,-0.03824,0.00108,9.3183,0.03838,0.9266,0.0000,0.0003,-1.3832,1.9355,108.07,13,0,18,0.4194,0.7675,0.2052,5,0,0
62,3099876,0.5274,1719.0,29,-0.03385,0.00053,9.4665,0.03737,0.9499,0.0000,0.0032,-1.5448,2.0690,108.20,13,0,16,0.4483,0.7711,0.2195,5,0,0
63,3149874,-0.4413,1570.6,31,-0.02203,0.00077,9.3876,0.04098,0.9237,0.0000,0.0074,-1.5778,1.1290,107.87,13,3,15,0.4194,0.7735,0.2202,5,0,1
64,3199872,0.0254,1434.3,35,-0.02595,0.00286,9.3427,0.03966,0.9486,0.0000,0.0289,-1.8607,1.8571,109.13,20,1,14,0.5714,0.7788,0.2315,5,0,1
65,3249870,0.6793,1597.4,31,-0.04735,0.00074,9.4369,0.03995,0.9334,0.0000,0.0190,-1.1140,1.7742,107.87,14,2,15,0.4516,0.7867,0.2376,5,0,0
66,3299868,0.6284,1455.1,34,-0.02633,0.00097,9.3829,0.03720,0.9553,0.0000,0.0524,-2.0711,2.6471,108.71,19,1,14,0.5588,0.7949,0.2486,5,0,0
67,3349866,0.3849,1377.2,37,-0.02411,0.00060,9.3346,0.03935,0.9542,0.0000,-0.0076,-2.0399,2.4324,108.42,19,2,16,0.5135,0.7940,0.2498,5,0,0
68,3399864,-1.8294,1533.5,31,-0.02822,0.00091,9.3600,0.03824,0.9293,0.0000,0.0000,-1.9907,0.1613,108.29,13,3,15,0.4194,0.7999,0.2528,5,0,3
69,3449862,0.4890,1330.4,39,-0.04725,0.00065,9.3075,0.03916,0.9610,0.0000,0.0591,-2.2624,2.6923,108.44,23,0,16,0.5897,0.8071,0.2635,5,0,0
70,3499860,0.3407,1601.0,32,-0.04091,0.00083,9.2695,0.03912,0.9447,0.0000,0.1301,-1.5082,1.7188,108.97,14,1,17,0.4375,0.8058,0.2718,5,0,0
71,3549858,-0.1698,1527.3,35,-0.03360,0.00088,9.2460,0.03856,0.9359,0.0000,-0.0082,-1.4473,1.2857,108.14,14,3,18,0.4000,0.7942,0.2628,5,0,1
72,3599856,-0.2109,1400.1,30,-0.03040,0.00078,9.2995,0.04018,0.9398,0.0000,0.0000,-2.0443,1.8333,108.17,15,1,14,0.5000,0.7934,0.2628,5,0,1
73,3649854,-0.4499,1614.7,34,-0.02831,0.00112,9.2041,0.03785,0.9122,0.0000,0.0002,-1.4795,1.0294,107.82,12,2,20,0.3529,0.7912,0.2566,5,0,1
74,3699852,0.2016,1317.4,36,-0.04296,0.00098,9.0975,0.03897,0.9483,0.0000,0.0000,-1.3262,1.5278,108.40,19,2,15,0.5278,0.7915,0.2613,5,0,2
75,3749850,0.7248,1511.1,32,-0.03192,0.00097,9.1215,0.03841,0.9366,0.0000,-0.0216,-1.5974,2.3438,108.60,15,2,15,0.4688,0.7969,0.2613,5,0,0
76,3799848,1.2829,1551.1,35,-0.02848,0.00117,9.1398,0.03923,0.9334,0.0000,0.1145,-0.9744,2.1429,108.51,17,2,16,0.4857,0.7941,0.2698,5,0,0
77,3849846,1.0273,1310.6,37,-0.02436,0.00134,8.9926,0.03750,0.9332,0.0000,0.0334,-0.7629,1.7568,108.54,17,2,18,0.4595,0.7880,0.2678,5,0,1
78,3899844,1.3073,1409.3,36,-0.01873,0.00106,9.1399,0.03764,0.9402,0.0000,0.0397,-0.9546,2.2222,108.64,18,0,18,0.5000,0.7948,0.2690,5,0,0
79,3949842,1.6447,1393.9,38,-0.04755,0.00095,9.1093,0.03679,0.9534,0.0000,0.0391,-0.7629,2.3684,108.16,20,1,17,0.5263,0.8020,0.2755,5,0,0
